City,Country,Date,Latitude,Longitude,High Temperature (F),Humidity,Cloudiness,Wind Speed
Yerofey Pavlovich,RU,1568913431,53.97,121.97,34.25,95,97,4.43
Farah,AF,1568913299,32.37,62.11,74.75,15,0,3.85
San Antonio,CL,1568913434,-33.58,-71.61,59.0,54,0,18.34
Caxias,BR,1568913435,-4.87,-43.35,98.6,27,0,6.93
Stephenville,CA,1568913437,48.55,-58.59,55.4,76,20,11.41
Qingquan,CN,1568913439,34.7,106.0,55.13,64,100,7.14
Rincon,PA,1568913440,8.46,-82.28,84.2,74,40,2.24
Golfito,CR,1568913232,8.64,-83.17,82.67,76,32,5.23
Boguchany,RU,1568913442,58.38,97.46,54.23,95,100,5.77
Evensk,RU,1568913444,61.92,159.24,41.45,91,99,3.04
Sangar,RU,1568913446,63.92,127.47,35.33,84,100,4.7
Lithakia,GR,1568913373,37.72,20.83,80.6,61,20,5.82
Axim,GH,1568913449,4.87,-2.24,76.91,87,100,11.01
Leonidovo,RU,1568913450,49.28,142.87,31.91,95,30,2.91
Port Blair,IN,1568913451,11.67,92.75,78.35,86,100,12.5
Saldanha,PT,1568913453,41.42,-6.55,80.15,33,50,3.24
Mayskiy,RU,1568913454,43.63,44.06,66.2,67,75,8.95
Mankono,CI,1568913456,8.06,-6.19,79.07,87,90,1.92
Ereymentau,KZ,1568913458,51.62,73.1,65.21,37,0,14.54
Tripoli,GR,1568913461,37.51,22.37,79.0,57,20,2.68
Letterkenny,IE,1568913462,54.95,-7.73,68.0,68,0,5.82
Tigil,RU,1568913464,57.8,158.67,36.05,92,45,3.36
Taltal,CL,1568913465,-25.41,-70.49,55.49,54,1,7.05
Mago,RU,1568913467,53.27,140.15,45.95,81,100,6.4
Beroroha,MG,1568913469,-21.68,45.17,77.09,25,0,4.32
Dillon,US,1568913470,45.22,-112.64,57.99,81,75,0.94
Urzhum,RU,1568913472,57.11,50.0,43.43,84,99,5.95
Polunochnoye,RU,1568913476,60.87,60.43,36.41,96,86,3.76
Tarakan,ID,1568913478,3.3,117.63,78.8,94,20,2.24
Los Llanos de Aridane,ES,1568913479,28.66,-17.92,75.2,73,40,10.29
Ginda,IN,1568913484,30.69,78.49,55.85,94,10,2.48
Gizo,IL,1568913488,31.8,34.94,82.99,74,0,9.17
Riva,ES,1568913489,43.28,-3.56,72.0,68,0,9.17
Mut,TR,1568913493,36.64,33.44,63.77,60,0,4.36
Kenai,US,1568913396,60.55,-151.26,53.6,81,1,9.17
Serramanna,IT,1568913495,39.42,8.92,84.2,74,0,9.17
Tezu,IN,1568913497,27.93,96.16,68.99,91,0,5.95
Banyo,CM,1568913499,6.75,11.81,66.11,96,100,1.21
Kutum,SD,1568913501,14.2,24.66,83.75,26,12,5.21
Tommot,RU,1568913503,58.97,126.27,31.37,95,100,10.11
Basse,DE,1568913504,52.55,9.51,60.8,47,40,9.17
Mildura,AU,1568913505,-34.18,142.16,68.0,34,85,17.22
Kununurra,AU,1568913506,-15.77,128.74,69.8,56,90,5.82
Uyuni,BO,1568913508,-20.46,-66.82,60.71,4,100,26.62
Leningradskiy,RU,1568913510,69.38,178.42,35.15,97,100,19.93
Santiago de Chuco,PE,1568913512,-8.15,-78.17,54.95,71,67,7.61
Viedma,AR,1568913513,-40.81,-62.99,54.23,27,0,25.32
Jamame,SO,1568913514,0.07,42.75,77.45,78,93,10.69
Ketchikan,US,1568913517,55.34,-131.65,55.4,100,90,4.7
Hobyo,SO,1568913518,5.35,48.53,77.45,78,65,26.78
Katherine,AU,1568913520,-14.47,132.26,73.4,49,88,3.36
Whitehorse,CA,1568913376,60.72,-135.06,48.0,81,75,6.93
Nagamangala,IN,1568913524,12.82,76.75,69.35,88,99,9.73
Dharmadam,IN,1568913526,11.78,75.43,78.8,94,75,2.24
Karratha,AU,1568913528,-20.74,116.85,67.55,39,79,18.99
Biscarrosse,FR,1568913530,44.41,-1.18,80.6,44,0,8.05
Henties Bay,NA,1568913532,-22.12,14.28,60.01,87,42,11.99
Tagusao,PH,1568913533,9.19,117.81,79.43,75,94,4.54
Cockburn Town,TC,1568913535,21.46,-71.14,83.57,77,62,14.79
Santa Isabel do Rio Negro,BR,1568913536,-0.41,-65.02,98.33,38,41,2.95
Tawang,BT,1568913537,27.59,91.87,52.61,90,16,4.36
Hirado,JP,1568913539,33.32,129.49,75.0,73,40,6.93
Shimoda,JP,1568913540,34.7,138.93,71.01,85,59,8.95
Coquimbo,CL,1568913542,-29.95,-71.34,59.0,67,40,10.29
Bandundu,CD,1568913544,-3.32,17.38,77.63,66,76,2.04
Braganca Paulista,BR,1568913545,-22.95,-46.54,91.4,48,30,5.82
Lalmohan,BD,1568913546,22.34,90.74,82.49,76,0,8.01
Jiwani,PK,1568913549,25.05,61.74,82.85,75,0,9.4
College,US,1568913550,64.86,-147.8,44.01,93,90,5.82
Norton,US,1568913552,41.97,-71.19,68.0,48,1,3.36
Cherskiy,RU,1568913553,68.75,161.3,28.67,89,0,12.35
Caravelas,BR,1568913556,-17.73,-39.27,80.87,67,49,17.18
Uinskoye,RU,1568913557,56.88,56.58,41.63,90,100,9.82
Regina,CA,1568913558,50.45,-104.62,70.0,82,75,13.87
Iracemapolis,BR,1568913560,-22.58,-47.52,93.99,26,33,9.17
Ajra,IN,1568913561,16.12,74.21,69.89,99,100,2.44
Tocopilla,CL,1568913543,-22.09,-70.2,57.11,74,68,8.46
Nago,IT,1568913564,45.88,10.89,71.6,43,75,5.82
Mumford,GH,1568913566,5.26,-0.76,75.11,92,90,7.61
Bongaree,AU,1568913567,-27.08,153.16,62.01,93,20,5.82
Nizhniy Odes,RU,1568913569,63.64,54.86,34.25,93,46,4.59
Plouzane,FR,1568913570,48.38,-4.62,68.0,52,0,19.46
Dalby,AU,1568913572,-27.18,151.26,60.01,87,5,8.05
Rawson,AR,1568913573,-43.3,-65.11,54.59,22,28,31.16
Qaqortoq,GL,1568913575,60.72,-46.03,44.6,65,75,4.7
Erenhot,CN,1568913576,43.65,111.97,58.19,58,93,9.4
Garowe,SO,1568913577,8.41,48.48,86.27,39,100,9.82
Colares,PT,1568913579,38.8,-9.45,75.2,64,75,10.29
Bom Jesus da Lapa,BR,1568913580,-13.25,-43.41,104.27,11,1,2.66
Saint-Joseph,FR,1568913582,43.56,6.97,75.2,78,40,2.24
Sibolga,ID,1568913583,1.74,98.78,81.59,78,97,7.52
Buin,CL,1568913584,-33.73,-70.74,66.99,62,75,3.42
Petropavlovsk-Kamchatskiy,RU,1568913586,53.05,158.65,41.0,100,90,4.47
Beringovskiy,RU,1568913587,63.05,179.32,35.51,97,100,2.55
Brugherio,IT,1568913588,45.55,9.3,71.01,68,75,2.24
Yanam,IN,1568913590,16.73,82.22,77.99,91,20,3.65
Bani,YE,1568913591,16.02,42.93,87.17,78,18,4.63
Kungurtug,RU,1568913592,50.6,97.53,40.19,80,16,3.42
Itupiranga,BR,1568913594,-5.13,-49.33,100.4,35,20,2.68
Rorvik,NO,1568913595,64.86,11.24,46.4,87,75,1.12
Nome,US,1568913596,30.04,-94.42,75.2,88,90,15.28
Inhambane,MZ,1568913598,-23.87,35.38,71.6,73,40,4.7
Erdenet,MN,1568913601,49.03,104.04,44.15,89,51,3.42
Cap Malheureux,MU,1568913602,-19.98,57.61,71.6,78,75,13.87
Hearst,CA,1568913603,49.69,-83.67,77.09,55,4,12.12
Maniitsoq,GL,1568913605,65.42,-52.9,39.11,46,0,6.22
Altamira,BR,1568913345,-3.2,-52.21,93.2,52,75,5.82
Port Macquarie,AU,1568913608,-31.43,152.91,62.01,100,40,1.16
Atar,MR,1568913534,20.52,-13.05,103.19,22,0,6.78
Fare,PF,1568913611,-16.7,-151.02,75.11,79,100,11.43
Kochubey,RU,1568913612,44.39,46.54,62.15,45,0,0.51
Corralillo,CU,1568913613,22.98,-80.59,83.75,63,12,14.74
Abadan,IR,1568913615,30.36,48.26,96.8,31,0,9.17
Qena,EG,1568913618,26.16,32.72,96.8,34,0,6.93
Krasnoarmeysk,RU,1568913620,56.12,38.15,48.2,87,75,6.71
Hun,BE,1568913621,50.34,4.87,61.0,47,31,10.29
Mafeteng,LS,1568913623,-29.82,27.24,63.41,18,73,4.32
Bulgan,MN,1568913624,48.81,103.53,44.15,73,39,4.56
Jocoro,SV,1568913625,13.61,-88.03,87.8,66,20,2.24
Ferme-Neuve,CA,1568913627,46.7,-75.45,68.09,56,49,9.35
Nuevitas,CU,1568913628,21.55,-77.27,82.4,74,75,5.82
Panaci,RO,1568913629,47.25,25.38,33.89,86,65,4.29
Japura,ID,1568913631,-0.42,102.29,76.37,76,100,0.76
Ialibu,PG,1568913632,-6.28,143.99,65.39,99,100,0.81
Noshiro,JP,1568913633,40.21,140.05,57.65,64,91,17.85
Baringo,KE,1568913635,0.47,35.97,61.61,66,81,4.94
Vilhena,BR,1568913638,-12.74,-60.15,101.75,22,19,6.87
Saint Anthony,US,1568913639,43.97,-111.68,57.0,53,1,3.36
